id,rz,sx,x,cx,reset,measure,u1,u2,u3,measureSuccess,sxSuccess,u1Success,rzSuccess,xSuccess,resetSuccess,cxSuccess,u2Success,idSuccess,u3Success,Machine,QCAvgDegree,QCGraphDensity,QCAvgConnectivity,QCAvgNeighborDegree,QCAvgClustering,QCAvgShortestPath,CXGraphDensity,CXAvgConnectivity,CXAvgNeighborDegree,CXAvgClustering,CXAvgShortestPath,CXAverageDegree,CXAverageWeight,CXMaxWeight,CXMinWeight,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger,ESP
0,396,72,4,246,0,3,-1,-1,-1,0.9801812500000002,0.9996294150792783,1,1,0.9996294150792783,0.9811508520208536,0.9927853527469924,1,0.9996294150792783,1,12,2.0,0.13333333333333333,1.55,2.4166666666666665,0.0,3.683333333333333,0.11428571428571428,0.2857142857142857,2.0,0.0,0,0.8571428571428571,2.25,5,1,16,318,15,341,15,5.831882477283517,0.1884652981427175,246,2.8466442261285754,6.871091294610546,718,0.5868989531281252,0.1416015625,0.858398437465,2.0653909311441407,285,0.919475989993343,1.1168638647026514,0.0003828325149365165
0,-1,-1,-1,43,0,6,59,18,3,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.4722222222222222,2.2777777777777777,4.2592592592592595,0.6296296296296295,0,2.125,2.176470588235294,5,1,14,90,9,89,9,4.48863636973214,0.20724094881398253,43,1.1143101578447265,5.111987788356544,123,0.5561596243541131,0.9140625,0.403320312475,4.089889262233011,35,0.175455427194131,0.5587208927143161,0.028146389071918562
0,-1,-1,-1,40,0,4,42,12,4,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.2,0.509090909090909,2.4545454545454546,0.36363636363636365,0,0.8461538461538461,2.909090909090909,5,1,14,43,13,62,13,4.127134385045092,0.17121588089330025,40,1.673020935626657,4.927253685157205,98,0.3736480264250221,0.0546875,0.945312499925,2.7455428998738998,61,0.9780535491977325,1.2378486087771652,0.005230175709907935
0,-1,-1,-1,252,0,4,294,99,34,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.7,2.2,3.3000000000000003,0.7,0,1.75,1.8571428571428572,3,1,14,410,11,415,11,6.028278520230698,0.20394304490690032,252,2.106543448257267,6.836259277277067,679,0.8777100502066517,1.0,0.3662109375,2.7519620554022572,178,0.19882102608888996,0.5290332969031903,3.360694329889397e-11
0,534,318,0,54,0,6,-1,-1,-1,0.9810142857142855,0.9992809598857898,1,1,0.9992809598857898,0.9478356623107348,0.984481480134788,1,0.9992809598857898,1,10,1.7142857142857142,0.2857142857142857,1.0,2.5238095238095237,0.0,2.2857142857142856,0.6,3.0,3.0,0.3333333333333333,0,1.5,1.8888888888888888,5,1,7,324,6,458,6,6.126869184114185,0.34934497816593885,54,1.3197714422237066,6.866933284461882,906,0.0,1.0,0.212890625,4.106935268623678,33,0.0700951501754936,0.26852320108337624,0.05020936697442809
0,-1,-1,-1,84,0,3,64,68,0,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.34545454545454546,1.7454545454545454,4.218181818181818,0.7939393939393938,0,1.7272727272727273,3.789473684210526,10,1,14,80,11,76,11,4.330733340286331,0.3588516746411483,84,2.242876204361567,5.703782474656201,216,0.5962232425175,0.470703125,0.52929687498,2.072817470491469,51,0.37723890153613204,0.7943430646279109,0.0010043310837417347
0,-1,-1,-1,65,0,5,56,16,5,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.8333333333333334,2.0,2.5,0.0,0,1.25,1.2,3,0,14,100,10,105,10,4.653960350157523,0.19714285714285715,65,1.3913090886303139,5.332718793265369,142,0.6061456918928017,0.0341796875,0.965820312345,3.403216135828293,45,0.9833252168211428,1.2767971512153558,0.0057123684101016954
0,223,30,3,115,0,3,-1,-1,-1,0.9801812500000002,0.9996294150792783,1,1,0.9996294150792783,0.9811508520208536,0.9927853527469924,1,0.9996294150792783,1,12,2.0,0.13333333333333333,1.55,2.4166666666666665,0.0,3.683333333333333,0.45714285714285713,3.9714285714285715,6.946666666666666,0.6533333333333334,0,3.4285714285714284,3.5,9,1,16,249,15,271,15,5.602118820879701,0.11955719557195572,115,2.7700563406606373,6.186208623900494,371,0.41848465730312684,1.0,0.294921875,2.0787104658698206,100,0.2511949590869672,0.3244664330865748,0.014321947170110741
0,-1,-1,-1,90,0,10,280,110,0,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.2,1.0,1.9,0.0,0,1.0,1.0,1,1,14,71,10,199,10,5.293304824724492,0.2864321608040201,90,0.7595889917718538,6.345636360828596,480,0.5081404364984463,0.39453125,0.6874999974649999,6.318863829099299,35,0.09466110003338885,1.0341904163601097,0.0024510970470828877
0,345,15,0,210,0,15,-1,-1,-1,0.9801812500000002,0.9996294150792783,1,1,0.9996294150792783,0.9811508520208536,0.9927853527469924,1,0.9996294150792783,1,12,2.0,0.13333333333333333,1.55,2.4166666666666665,0.0,3.683333333333333,1.0,14.0,14.0,1.0,0,7.0,5.333333333333333,14,1,16,114,15,451,15,6.111467339502679,0.11529933481152993,210,0.5879678360403259,6.659293919683638,570,0.0,0.0341796875,0.9667968653299993,6.891629625646741,271,0.04445236939647801,1.3898165142503798,0.0004266921635342602
0,34,10,6,14,0,6,-1,-1,-1,0.9810142857142855,0.9992809598857898,1,1,0.9992809598857898,0.9478356623107348,0.984481480134788,1,0.9992809598857898,1,10,1.7142857142857142,0.2857142857142857,1.0,2.5238095238095237,0.0,2.2857142857142856,0.3,0.4,1.4,0.0,0,0.75,1.3333333333333333,2,1,7,38,6,40,6,3.6888794541139363,0.325,14,0.9134398205569986,4.356708826689592,64,0.6893425084672451,0.7734375,0.23632812486,3.3471939776772923,6,0.0906889590862981,0.5000912731697301,0.47118574484238485
0,-1,-1,-1,13,0,13,0,27,1,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.15384615384615385,1.032967032967033,11.368131868131869,0.14377289377289376,0,1.0,6.571428571428571,13,1,14,17,14,16,14,2.772588722239781,0.24107142857142858,13,0.41628046552731074,3.9889840465642745,41,0.3502254381127246,0.0634765625,0.9365234350249998,5.611814215122296,14,0.9393556667124466,1.2231048407845972,0.10212031011765921
0,-1,-1,-1,12,0,12,0,34,1,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.18181818181818182,1.0454545454545454,9.431818181818182,0.16818181818181818,0,1.0,5.583333333333333,11,1,14,39,12,16,12,2.772588722239781,0.3072916666666667,12,0.4381246143356485,4.07753744390572,47,0.39246085010936116,0.107421875,0.8925781223099998,5.823411480230349,22,0.4505203629074458,1.1686675200545726,0.0694603356088778
0,-1,-1,-1,192,0,8,160,0,656,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.2857142857142857,2.0,2.0,0.0,0,1.0,1.75,7,1,14,173,8,381,8,5.942799375126701,0.3937007874015748,192,1.002780114600817,7.090076835776092,1008,0.0,0.5673828125,0.666992186905,5.347366538980456,25,0.30709746521329323,0.9511049702782719,0.0008788555490214607
0,-1,-1,-1,0,0,16,0,18,9,0.94186,0.9986231057901525,1,1,0.9986231057901525,1.0,0.9746461234315162,1,0.9986231057901525,1,22,1.2857142857142858,0.0989010989010989,0.17032967032967034,0.35714285714285715,0.0,0.2032967032967033,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,14,7,8,8,8,2.0794415416798357,0.421875,0,0.25993019270997947,3.295836866004329,27,0.0,0.88671875,0.17773437477999998,3.7931443669912808,0,0.055535418761293115,0.3696940251534992,0.33555594900002483
